business_id,date,review_id,stars,text,type,user_id,cool,useful,funny
9yKzy9PApeiPPOUJEtnvkg,2011-01-26,fWKvX83p0-ka4JS3dc6E5A,5,"My wife took me here on my birthday for breakfast and it was excellent.][The weather was perfect which made sitting outside overlooking their grounds an absolute pleasure.][Our waitress was excellent and our food arrived quickly on the semi-busy Saturday morning.][It looked like the place fills up pretty quickly so the earlier you get here the better.

Do yourself a favor and get their Bloody Mary.][It was phenomenal and simply the best I've ever had.][I'm pretty sure they only use ingredients from their garden and blend them fresh when you order it.][It was amazing.

While EVERYTHING on the menu looks excellent, I had the white truffle scrambled eggs vegetable skillet and it was tasty and delicious.][It came with 2 pieces of their griddled bread with was amazing and it absolutely made the meal complete.][It was the best ""toast"" I've ever had.

Anyway, I can't wait to go back!",review,rLtl8ZkDX5vH5nAx9C3q5Q,2,5,0
ZRJwVLyzEJq1VAihDhYiow,2011-07-27,IjZ33sJrzXqU-0X6U8NwyA,5,"I have no idea why some people give bad reviews about this place.]It goes to show you, you can please everyone.]They are probably griping about something that their own fault...there are many people like that.

In any case, my friend and I arrived at about 5:50 PM this past Sunday.]It was pretty crowded, more than I thought for a Sunday evening and thought we would have to wait forever to get a seat but they said we'll be seated when the girl comes back from seating someone else.]We were seated at 5:52 and the waiter came and got our drink orders.]Everyone was very pleasant from the host that seated us to the waiter to the server.]The prices were very good as well.]We placed our orders once we decided what we wanted at 6:02.]We shared the baked spaghetti calzone and the small ""Here's The Beef"" pizza so we can both try them.]The calzone was huge and we got the smallest one (personal) and got the small 11"" pizza.]Both were awesome! My friend liked the pizza better and I liked the calzone better.]The calzone does have a sweetish sauce but that's how I like my sauce!

We had to box part of the pizza to take it home and we were out the door by 6:42.]So, everything was great and not like these bad reviewers.]That goes to show you that  you have to try these things yourself because all these bad reviewers have some serious issues.",review,0a2KyEL0d3Yb1V6aivbIuQ,0,0,0
6oRAC4uyJCsJl1X0WZpVSA,2012-06-14,IESLBzqUCLdSzSqm0eCSxQ,4,love the gyro plate.]Rice is so good and I also dig their candy selection :),review,0hT2KtfLiobPvh6cDC8JQg,0,1,0
_1QQZuf4zZOyFCvXc0o6Vg,2010-05-27,G-WvGaISbqqaMHlNnByodA,5,"Rosie, Dakota, and I LOVE Chaparral Dog Park!!! It's very convenient and surrounded by a lot of paths, a desert xeriscape, baseball fields, ballparks, and a lake with ducks.

The Scottsdale Park and Rec Dept.]does a wonderful job of keeping the park clean and shaded.][You can find trash cans and poopy-pick up mitts located all over the park and paths.

The fenced in area is huge to let the dogs run, play, and sniff!",review,uZetl9T0NcROGOyFfughhg,1,2,0
6ozycU1RpktNG2-1BroVtw,2012-01-05,1uJFq2r5QfJG_6ExMRCaGw,5,"General Manager Scott Petello is a good egg!!! Not to go into detail, but let me assure you if you have any issues (albeit rare) speak with Scott and treat the guy with some respect as you state your case and I'd be surprised if you don't walk out totally satisfied as I just did.]Like I always say.....]""Mistakes are inevitable, it's how we recover from them that is important""!!!

Thanks to Scott and his awesome staff.]You've got a customer for life!! ..........]:^)",review,vYmM4KTsC8ZfQBg-j5MWkw,0,0,0
-yxfBYGB6SEqszmxJxd97A,2007-12-13,m2CKSsepBCoRYWxiRUsxAg,4,"Quiessence is, simply put, beautiful.][Full windows and earthy wooden walls give a feeling of warmth inside this restaurant perched in the middle of a farm.][The restaurant seemed fairly full even on a Tuesday evening; we had secured reservations just a couple days before.

My friend and I had sampled sandwiches at the Farm Kitchen earlier that week, and were impressed enough to want to eat at the restaurant.][The crisp, fresh veggies didn't disappoint: we ordered the salad with orange and grapefruit slices and the crudites to start.][Both were very good; I didn't even know how much I liked raw radishes and turnips until I tried them with their pesto and aioli sauces.

For entrees, I ordered the lamb and my friend ordered the pork shoulder.][Service started out very good, but trailed off quickly.][Waiting for our food took a very long time (a couple seated after us received and finished their entrees before we received our's), and no one bothered to explain the situation until the maitre'd apologized almost 45 minutes later.][Apparently the chef was unhappy with the sauce on my entree, so he started anew.][This isn't really a problem, but they should have communicated this to us earlier.][For our troubles, they comped me the glass of wine I ordered, but they forgot to bring out with my entree  as I had requested.][Also, they didn't offer us bread, but I will echo the lady who whispered this to us on her way out: ask for the bread.][We received warm foccacia, apple walnut, and pomegranate slices of wonder with honey and butter.][YUM.

The entrees were both solid, but didn't quite live up to the innovation and freshness of the vegetables.][My lamb's sauce was delicious, but the meat was tough.][Maybe the vegetarian entrees are the way to go?  But our dessert, the gingerbread pear cake, was yet another winner.

If the entrees were tad more inspired, or the service weren't so spotty, this place definitely would have warranted five stars.][If I return, I'd like to try the 75$ tasting menu.][Our bill came out to about 100$ for two people, including tip, no drinks.",review,sqYN3lNgvPbPCTRsMFu27g,4,3,1
zp713qNhx8d9KCJJnrw1xA,2010-02-12,riFQ3vxNpP4rWLk_CSri2A,5,"Drop what you're doing and drive here.]After I ate here I had to go back the next day for more.][The food is that good.

This cute little green building may have gone competely unoticed if I hadn't been driving down Palm Rd to avoid construction.][While waiting to turn onto 16th Street the ""Grand Opening"" sign caught my eye and my little yelping soul leaped for joy!  A new place to try!

It looked desolate from the outside but when I opened the door I was put at easy by the decor, smell and cleanliness inside.][I ordered dinner for two, to go.][The menu was awesome.][I loved seeing all the variety: poblano peppers, mole, mahi mahi, mushrooms...something wrapped in banana leaves.][It made it difficult to choose something.][Here's what I've had so far: La Condesa Shrimp Burro and Baja Sur Dogfish Shark Taco.][They are both were very delicious meals but the shrimp burro stole the show.][So much flavor.][I snagged some bites from my hubbys mole and mahi mahi burros- mmmm such a delight.][The salsa bar is endless.][I really stocked up.][I was excited to try the strawberry salsa but it was too hot, in fact it all was, but I'm a big wimp when it comes to hot peppers.]The horchata is handmade and delicious.][They throw pecans and some fruit in there too which is a yummy bonus!

As if the good food wasn't enough to win me over the art in this restaurant sho did!  I'm a sucker for Mexican folk art and Frida Kahlo is my Oprah.][There's a painting of her and Diego hanging over the salsa bar, it's amazing.][All the paintings are great, love the artist.",review,wFweIWhv2fREZV_dYkz_1g,7,7,4
hW0Ne_HTHEAgGF1rAdmR-g,2012-07-12,JL7GXJ9u4YMx7Rzs05NfiQ,4,"Luckily, I didn't have to travel far to make my connecting flight.]And for this, I thank you, Phoenix.

My brief layover was pleasant as the employees were kind and the flight was on time.][Hopefully, next time I can grace Phoenix with my presence for a little while longer.",review,1ieuYcKS7zeAv_U15AB13A,0,1,0
wNUea3IXZWD63bbOQaOH-g,2012-08-17,XtnfnYmnJYi71yIuGsXIUA,4,"Definitely come for Happy hour! Prices are amazing, sake bombers for $3...Great atmosphere and wait staff was incredibly nice and right on to all of our needs, didn't have to ask for a thing They were always spot on...Place gets crowded in the evening especially if you plan on sitting outside.]I only wish there were one in Apollo Beach or Brandon!",review,Vh_DlizgGhSqQh4qfZ2h6A,0,0,0
nMHhuYan8e3cONo3PornJA,2010-08-11,jJAIXA46pU1swYyRCdfXtQ,5,Nobuo shows his unique talents with everything on the menu.]Carefully crafted features with much to drink.]Start with the pork belly buns and a stout.]Then go on until you can no longer.,review,sUNkXg8-KFtCMQDV6zRzQg,0,1,0
AsSCv0q_BWqIe3mX2JqsOQ,2010-06-16,E11jzpKz9Kw5K7fuARWfRw,5,"The oldish man who owns the store is as sweet as can be.][Perhaps sweeter than the cookies or ice cream.

Here's the lowdown: Giant ice cream cookie sandwiches for super cheap.][The flavor permutations are basically endless.][I had snickerdoodle with cookies and cream ice cream.][It was marvelous.",review,-OMlS6yWkYjVldNhC31wYg,1,3,1
e9nN4XxjdHj4qtKCOPq_vg,2011-10-21,3rPt0LxF7rgmEUrznoH22w,5,Wonderful Vietnamese sandwich shoppe.]Their baguettes are great hot out of the oven with butter or in one of their many sandwich choices.]They have a modest selection of baked goods along with some of the best egg rolls around.]Bring cash or your ATM card as no credit cards are accepted but they have an ATM on premises.,review,C1rHp3dmepNea7XiouwB6Q,1,1,0
